id,name.local,name.en,name.slug,code.id,children_count.sous_prefecture,geo.lat,geo.lon
TCD2102,Abdi,Abdi,abdi-tcd2102,TCD2102,0,12.909,21.213
TCD2101,Kimiti,Kimiti,kimiti-tcd2101,TCD2101,9,11.88,21.875
