# Data from Open Admin Data (https://openadmindata.org/td/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/chad-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.department,children_count.sous_prefecture,zip_codes,geo.lat,geo.lon,source_url
TCD20,1,Province,Province,ENNEDI EST,ENNEDI EST,ennedi-est-tcd20,TCD20,,,,,,2,1,,17.887,23.18,https://openadmindata.org/td/provinces/ennedi-est-tcd20/
TCD2001,2,Département,Department,Amdjarass,Amdjarass,amdjarass-tcd2001,TCD2001,,TCD20,ENNEDI EST,ENNEDI EST,,,1,,17.99,23.18,
TCD2002,2,Département,Department,Wadi Hawar,Wadi Hawar,wadi-hawar-tcd2002,TCD2002,,TCD20,ENNEDI EST,ENNEDI EST,,,0,,15.805,22.713,
TCD21,1,Province,Province,SILA,SILA,sila-tcd21,TCD21,,,,,,2,9,,12.075,21.874,https://openadmindata.org/td/provinces/sila-tcd21/
TCD2101,2,Département,Department,Kimiti,Kimiti,kimiti-tcd2101,TCD2101,,TCD21,SILA,SILA,,,9,,11.88,21.875,
TCD2102,2,Département,Department,Abdi,Abdi,abdi-tcd2102,TCD2102,,TCD21,SILA,SILA,,,0,,12.909,21.213,
TCD22,1,Province,Province,TIBESTI,TIBESTI,tibesti-tcd22,TCD22,,,,,,2,1,,20.176,18.237,https://openadmindata.org/td/provinces/tibesti-tcd22/
TCD2201,2,Département,Department,Tibesti Est,Tibesti Est,tibesti-est-tcd2201,TCD2201,,TCD22,TIBESTI,TIBESTI,,,1,,20.775,19.004,
TCD2202,2,Département,Department,Tibesti Ouest,Tibesti Ouest,tibesti-ouest-tcd2202,TCD2202,,TCD22,TIBESTI,TIBESTI,,,0,,20.144,16.575,
TCD23,1,Province,Province,ENNEDI OUEST,ENNEDI OUEST,ennedi-ouest-tcd23,TCD23,,,,,,2,1,,18.256,20.962,https://openadmindata.org/td/provinces/ennedi-ouest-tcd23/
TCD2301,2,Département,Department,Fada,Fada,fada-tcd2301,TCD2301,,TCD23,ENNEDI OUEST,ENNEDI OUEST,,,1,,18.256,20.962,
TCD2302,2,Département,Department,Mourtcha,Mourtcha,mourtcha-tcd2302,TCD2302,,TCD23,ENNEDI OUEST,ENNEDI OUEST,,,0,,16.345,20.909,
