id,name.local,name.en,name.slug,code.id,children_count.sous_prefecture,geo.lat,geo.lon
TCD0201,Borkou,Borkou,borkou-tcd0201,TCD0201,1,16.487,18.973
TCD0202,Borkou Yala,Borkou Yala,borkou-yala-tcd0202,TCD0202,0,17.324,17.098
